ID,Title,Beginning Date,Culture,Country,Medium,Classificatiion
325854,Cuneiform tablet: commercial note concerning caravan expenses,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325856,Cuneiform tablet: quittance,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325853,Cuneiform tablet: commercial note,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325847,Cuneiform tablet: private letter fragment,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325861,Cuneiform tablet: statement before witnesses,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325860,Cuneiform tablet: legal decision by appointed judges,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325859,Cuneiform tablet: quittance for a loan in copper,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325845,Cuneiform tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325843,Cuneiform tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325848,Cuneiform tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325844,Cuneiform tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325855,Cuneiform tablet: loan of silver,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325862,Cuneiform tablet: court deposition,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325864,Cuneiform tablet case impressed with four cylinder seals,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
325852,Cuneiform tablet: private letter concerning consignment of textiles,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
328900,"Cuneiform tablet case impressed with three cylinder seals, for cuneiform tablet 66.246.18a: quittance for a loan in copper",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
328899,"Cuneiform tablet case impressed with three cylinder seals, for cuneiform tablet 66.245.19a: legal decision by appointed judges",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
328898,"Cuneiform tablet case impressed with two cylinder seals, for tablet 66.245.20a: statement before witnesses",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
326716,Cuneiform tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
326711,Cuneiform tablet: court deposition,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
328893,"Cuneiform tablet case impressed with two cylinder seals, for cuneiform tablet 1983.135.5a: court deposition",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
328892,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablet 1983.135.6a: private letter",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
328904,"Cuneiform tablet case impressed with three cylinder seals, for cuneiform tablet 66.245.14a: loan of silver",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
325863,Cuneiform tablet case impressed with three cylinder seals: loan of silver,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
328897,"Cuneiform tablet case impressed with five cylinder seals, for cuneiform tablet 66.245.21b: court deposition",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
545393,Stela of the Overseer of the Fortress Intef,-2000,,Egypt,Limestone,
545123,Coffin of Wah,-1981,,Egypt,"Coniferous wood (spruce or cedar), paint",
545442,Outer coffin of Hapiankhtifi,-1981,,Egypt,"Coniferous wood, paint, iron bolts, brass straps",
544149,Magic wand,-1981,,Egypt,Hippopotamus ivory,
555676,Column Fragment of Amenemhat I,-1981,,Egypt,Limestone,
556545,Statuette of the Overseer of Priests Ameny,-1981,,,Limestone,
544141,Relief block from a building of Amenemhat I,-1981,,Egypt,"Limestone, paint",
555861,"Stela of Intef and his wife, Dedetamun",-1981,,Egypt,"Limestone, paint",
544206,Lintel of Amenemhat I and Deities,-1981,,Egypt,"Limestone, paint",
564932,Red-Dyed Length of Linen,-1981,,Egypt,"Linen, hematite",
544327,Canopic chest of Hapiankhtifi,-1981,,Egypt,Painted and gilded wood (Juniperus sp.),
544255,Model of a Man Plowing,-1981,,Egypt,Painted wood,
546511,Nine fragments of hieratic text,-1981,,Egypt,"Papyrus, ink",
545453,Meketre papyrus,-1981,,Egypt,"Papyrus, ink",
545454,Papyrus inscribed with accounts of beer and bulls,-1981,,Egypt,"Papyrus, ink",
546303,"Coffin of Ukhhotep, son of Hedjpu",-1981,,,Wood (Abies sp. or Cedrus sp.),
544319,Writing board,-1981,,,"Wood, gesso, paint",
544203,Statuette of Merer,-1981,,,"Wood, paint",
544204,Statuette of Merer,-1981,,,"Wood, paint
Gesso",
544205,Statuette of Merer,-1981,,,"Wood, paint
Gesso",
590947,Coffins and Mummy of the Lady Nephthys,-1961,,Egypt,"Painted wood, cartonnage, linen, human remains, mummification material",
545456,Papyrus inscribed with an account and a religious text,-1961,,Egypt,"Papyrus, ink",
545448,"Papyrus of Sitnebsekhtu, Heqanakht Letter IV",-1961,,Egypt,"Papyrus, ink",
545455,Accounts of workforace salaries,-1961,,Egypt,"Papyrus, ink",
551043,"Heqanakht's account, written over an effaced letter regarding two female servants",-1956,,Egypt,"Papyrus, ink",
544320,Stela of the Steward Mentuwoser,-1944,,,"Limestone, paint",
326040,Votive cone with cuneiform inscription of Lipit-Eshtar,-1934,Isin-Larsa,,Clay,Clay-Tablets-Inscribed
555675,Dismantled Coffin of Khety,-1919,,Egypt,"Coniferous wood, paint",
325240,Vessel,-1900,Old Assyrian Trading Colony or Hittite,,"Ceramic, paint",Ceramics-Vessels
321678,Cuneiform tablet: Old Babylonian balag to the mother goddess Aruru,-1900,Babylonian,,Clay,Clay-Tablets-Inscribed
569118,Offering table,-1900,,Egypt,Limestone,
